Date,SPY,VTI,IWM,IEUR,EEM,EWJ,MTUM,QUAL,VLUE,USMV,IWD,IWF,XLF,XLK,XLE,XLV,XLY,XLP,XLRE,XLU,XLB,GLD,DBC,VNQ,LQD,HYG,IEF,TIP,SHY
2016-03-24,27.10614776611328,38.50600814819336,30.000635147094727,94.76695251464844,173.55120849609375,88.30061340332031,64.12384796142578,55.97193145751953,47.36246109008789,36.37224960327149,79.49614715576172,90.35314178466795,15.163525581359863,39.230445861816406,41.84610366821289,57.503299713134766,70.06212615966797,40.58790969848633,22.570098876953125,36.096961975097656,36.7904167175293,116.33000183105467,11.666455268859863,55.5275993347168,84.8148422241211,49.17012023925781,88.7347640991211,85.87838745117188,71.02135467529297
2016-03-28,27.195526123046875,39.08274459838867,30.13483238220215,94.88187408447266,173.6537628173828,88.3604507446289,64.31112670898438,56.04965972900391,47.40146255493164,36.45624923706055,79.56929016113281,90.4635238647461,15.211102485656738,39.13152694702149,41.62279510498047,57.34118270874024,70.37833404541016,40.80511474609375,22.714826583862305,35.96411895751953,36.94733047485352,116.5999984741211,11.701409339904783,56.02833557128906,84.86517333984375,48.94649124145508,88.86479187011719,85.98467254638672,71.03805541992188
2016-03-29,27.56929397583008,39.4898567199707,30.515056610107425,97.5162582397461,175.26007080078125,89.34327697753906,65.04235076904297,56.5420036315918,47.75234603881836,36.89315414428711,80.13803100585938,91.53053283691406,15.238288879394531,39.74308395385742,41.81904983520508,58.00674819946289,71.09207916259766,41.10766220092773,23.20689010620117,36.4954948425293,37.15377426147461,118.76000213623048,11.675192832946776,57.242469787597656,85.24649810791016,49.13383865356445,89.4661636352539,86.88811492919922,71.17205810546875
2016-03-30,27.85367202758789,39.35415649414063,30.828184127807617,97.52509307861328,176.0290985107422,89.68511199951172,65.36338806152344,56.82704925537109,47.955074310302734,36.96037292480469,80.45489501953125,91.95362854003906,15.326641082763672,39.97691345214844,41.90024185180664,58.015281677246094,71.54378509521484,41.37916564941406,23.15624237060547,36.40693664550781,37.31893539428711,117.0999984741211,11.631498336791992,57.132720947265625,85.14575958251953,49.30915069580078,89.34425354003906,86.94129180908203,71.18045043945312
2016-03-31,27.82929229736328,38.70956039428711,30.626888275146484,97.79914855957033,175.60183715820312,89.58257293701172,65.18502044677734,56.680213928222656,47.83811950683594,36.90997695922852,80.2842788696289,91.77884674072266,15.292661666870115,39.89598083496094,41.87994003295898,57.83610153198242,71.46246337890625,41.161956787109375,23.272018432617188,36.62096405029297,37.00513458251953,117.63999938964844,11.614019393920898,57.48255157470703,85.48387145996094,49.37562561035156,89.66930389404297,87.0323486328125,71.21389770507812
2016-04-01,27.748044967651367,37.7596435546875,30.39576911926269,98.2323226928711,176.79806518554688,90.1466064453125,65.89840698242188,57.11209487915039,47.90050506591797,37.22084045410156,80.64990997314453,92.54228973388672,15.428595542907717,40.20177459716797,41.31829071044922,58.493125915527344,71.76061248779297,41.59638595581055,23.320499420166016,36.761192321777344,37.36024475097656,116.93000030517578,11.413026809692385,57.40707778930664,85.75947570800781,49.41142272949219,89.64325714111328,87.10072326660156,71.17288970947266
2016-04-04,27.414913177490234,37.7596435546875,30.425594329833984,97.4101791381836,176.2255401611328,89.77056121826172,65.56846618652344,56.91341781616211,47.58858871459961,37.15363311767578,80.26802825927734,92.29393768310548,15.35383415222168,40.048866271972656,41.0137825012207,59.192832946777344,71.2004623413086,41.611907958984375,23.286495208740234,36.606204986572266,36.87299346923828,116.1500015258789,11.255725860595703,57.32477951049805,85.76669311523438,49.29001235961914,89.74906158447266,87.20698547363281,71.22317504882812
2016-04-05,26.878631591796875,36.945411682128906,29.829158782958984,96.30514526367188,174.4654541015625,88.89888763427734,64.8907699584961,56.51609420776367,47.09734725952149,36.842750549316406,79.34176635742188,91.50291442871094,15.13633632659912,39.662139892578125,40.73634719848633,58.42487716674805,70.59516143798828,41.33262634277344,23.07809066772461,35.91983413696289,36.64176177978516,117.66000366210938,11.229507446289062,56.94750213623047,86.0408935546875,49.10782623291016,90.10717010498048,87.298095703125,71.24824523925781
2016-04-06,27.20364189147949,37.55607604980469,30.254119873046875,97.39248657226562,176.3707733154297,89.87313842773438,65.69332122802734,57.0516242980957,47.59639739990234,37.111610412597656,80.1136703491211,92.65269470214844,15.217902183532717,40.048866271972656,41.61604309082031,59.99490737915039,71.26368713378906,41.658447265625,23.141769409179688,35.87555694580078,37.06294631958008,116.94000244140624,11.351852416992188,57.08471298217773,85.96875762939453,49.52072525024414,89.91183471679688,87.07032012939453,71.22317504882812
2016-04-07,26.65925025939941,37.35252380371094,29.79188346862793,96.0753173828125,174.26039123535156,88.79630279541016,65.06017303466797,56.4383544921875,46.92580032348633,36.867958068847656,79.21990203857422,91.49372863769533,14.93243408203125,39.47327423095703,41.3724365234375,59.33788299560547,70.45964050292969,41.20850372314453,22.95361518859864,35.86079406738281,36.52614974975586,118.61000061035156,11.316896438598633,56.72799682617188,86.19956970214844,49.27786636352539,90.375732421875,87.37397766113281,71.2650375366211
